Category,Product,Volume (mL),ABV (%),qty,Current Price ($),Regular Price ($),mL / $,mL / $ (sale)
Beer,Fruli Strawberry White 330ml,330,4.1,1,4.69,4.69,2.884861407249466,2.884861407249466
Beer,Muskoka Legendary Oddity 473ml,,,1,,,,
Beer,Purity Pure UBU 500ml,,,1,,,,
Beer,Brasseur De Montreal Goudy 625ml,,,1,,,,
Beer,Brasseur De Montreal L'Amer Double IPA 625ml,,,1,,,,
Beer,Brasseur De Montreal L'Amer IPA 625ml,,,1,,,,
Beer,Loyalist City Rotating IPA 473ml,473,6.5,1,4.75,4.75,6.472631578947369,6.472631578947369
Beer,Off Grid Ales Smooth Sailing Pale Ale 500ml,500,5.5,1,4.75,4.75,5.7894736842105265,5.7894736842105265
Beer,Off Grid Ales Sunny Day IPA 500ml,500,5.5,1,4.75,4.75,5.7894736842105265,5.7894736842105265
Beer,Off Grid Ales Unplugged Porter 500ml,500,5.5,1,4.75,4.75,5.7894736842105265,5.7894736842105265
Beer,Think Brewing 150 Red IP Eh 500ml,500,6.0,1,4.75,4.75,6.315789473684211,6.315789473684211
Beer,Purity Mad Goose 500ml,,,1,,,,
Beer,Bobcaygeon Birch Bark White IPA 473ml,,,1,,,,
Beer,Erdinger Dunkel Weissbier 500ml,500,5.6,1,4.79,4.79,5.845511482254697,5.845511482254697
Beer,Category 12 Hiatus Farmhouse Ale With Cucumber & Lemon 473ml,,,1,,,,
Beer,Collective Arts Sour Harvest Saison 473ml,,,1,,,,
Beer,Erdinger Oktoberfest 500ml,,,1,,,,
Beer,Molson Canadian Lager Victory Bottle 625ml,,,1,,,,
Beer,New Limburg Tripel 500ml,,,1,,,,
Beer,Innis & Gunn Dons Choice 330ml,,,1,,,,
Beer,Averbode 330ml,,,1,,,,
Beer,Broadhead Dark Horse Stout 473ml,,,1,,,,
Beer,Category 12 Side Project Amber Lager 473ml,,,1,,,,
Beer,Erdinger Pikantus 500ml,500,7.3,1,5.99,5.99,6.093489148580968,6.093489148580968
Beer,Innis & Gunn Kindred Spirits 330ml,,,1,,,,
Beer,Murphys Irish Stout 440ml,440,4.1,1,3.9,3.9,4.625641025641025,4.625641025641025
Beer,Pump House SPCA Adoption Ale 500ml,500,7.0,1,4.99,4.99,7.014028056112224,7.014028056112224
Beer,TrailWay Double IPA 473ml,473,8.0,1,4.99,4.99,7.583166332665331,7.583166332665331
Beer,Tuque De Broue St Nicolas 473ml,,,1,,,,
Beer,Garrison Star Trek Borg Ale 650ml,,,1,,,,
Beer,Beaus Full Time IPA 600ml,,,1,,,,
Beer,Collective Arts Mash Up The Jam Dry Hop Sour 473ml,473,5.0,1,5.29,5.29,4.47069943289225,4.47069943289225
Beer,Tuque de Broue Portage Porter 473ml,,,1,,,,
Beer,Garrison Sugar Moon Maple 650ml,,,1,,,,
Beer,Off Grid Ales High Tower Double IPA 500ml,500,7.8,1,5.75,5.75,6.782608695652174,6.782608695652174
Beer,Bud Light Platinum 6 B,,,1,,,,
Beer,Garrison Wee Heavy Home Brew Off Winner 650ml,,,1,,,,
